scenario,fuel_cat,ccs,year,unitid,generation_total_gwh
integrated_proposal,coal,False,2028,245,468497.033486254
integrated_proposal,coal,False,2030,162,81132.375522913
integrated_proposal,coal,False,2035,70,962.036626738
integrated_proposal,coal,False,2040,64,184.671626172
integrated_proposal,coal,False,2045,61,86.127187216
integrated_proposal,coal,False,2050,55,16.807420596
integrated_proposal,coal,False,2055,55,23.145773314
integrated_proposal,coal,True,2030,40,84436.650292872
integrated_proposal,coal,True,2035,40,84478.826796432
integrated_proposal,coal,True,2040,37,60960.056664096
integrated_proposal,coal,True,2045,8,2147.04298176
integrated_proposal,coal,True,2050,5,2090.391632496
integrated_proposal,coal,True,2055,5,2090.391632496
integrated_proposal,natural_gas,False,2028,1880,1817279.4043300732
integrated_proposal,natural_gas,False,2030,1889,1929533.262721715
integrated_proposal,natural_gas,False,2035,2013,1344870.272174241
integrated_proposal,natural_gas,False,2040,2044,1077766.743000065
integrated_proposal,natural_gas,False,2045,2000,927857.926486018
integrated_proposal,natural_gas,False,2050,1976,826814.8186186301
integrated_proposal,natural_gas,False,2055,1991,904856.1539730271
integrated_proposal,natural_gas,True,2030,1,3818.888474448
integrated_proposal,natural_gas,True,2035,5,26967.041628143998
integrated_proposal,natural_gas,True,2040,5,26967.041628143998
integrated_proposal,natural_gas,True,2045,5,26114.122581886
integrated_proposal,natural_gas,True,2050,5,21426.716685842
integrated_proposal,natural_gas,True,2055,5,21027.302887872
updated_baseline,coal,False,2028,251,484019.332729048
updated_baseline,coal,False,2030,179,242752.44673837099
updated_baseline,coal,False,2035,134,44315.364911464996
updated_baseline,coal,False,2040,126,24159.9113219
updated_baseline,coal,False,2045,116,18235.472164615
updated_baseline,coal,False,2050,87,3956.3063012439998
updated_baseline,coal,False,2055,85,7485.475134018
updated_baseline,coal,True,2030,33,65859.552498456
updated_baseline,coal,True,2035,42,75236.868952032
updated_baseline,coal,True,2040,34,54631.119221808
updated_baseline,coal,True,2045,10,4124.6236961760005
updated_baseline,coal,True,2050,6,2169.5472420720002
updated_baseline,coal,True,2055,6,2169.5472420720002
updated_baseline,natural_gas,False,2028,1863,1803911.12389408
updated_baseline,natural_gas,False,2030,1860,1804612.5588726972
updated_baseline,natural_gas,False,2035,1828,1419098.037173412
updated_baseline,natural_gas,False,2040,1853,1167380.201426514
updated_baseline,natural_gas,False,2045,1832,973049.4534456481
updated_baseline,natural_gas,False,2050,1810,877181.6941946311
updated_baseline,natural_gas,False,2055,1823,953060.4038450401
