,,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,generation_total_gwh,generation_total_gwh,generation_total_gwh,capacity_factor,capacity_factor,capacity_factor
scenario,,integrated_proposal,proposal,updated_baseline,integrated_proposal,proposal,updated_baseline,integrated_proposal,proposal,updated_baseline
fuel_cat,year,,,,,,,,,
coal,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,2030,-0.7987523167504484,-0.7952878755234417,-0.4825804834636078,-0.6465953592411746,-0.6431807735508854,-0.36239737058274335,-0.31947971540945375,-0.3202884157331797,-0.09994353423100644
coal,2035,-0.9711246999404498,-0.9711122894677197,-0.8843850123935726,-0.8176277386702452,-0.8178424492043237,-0.7530011183862736,-0.22397621246384702,-0.23297059499464212,-0.3820768560132206
coal,2040,-0.980309716790392,-0.979150903398798,-0.930838444867421,-0.869487480346955,-0.861687685388119,-0.8372151168023387,-0.2461419776594852,-0.25323280415999516,-0.44455884362449405
coal,2045,-0.9990706842697389,-0.9990072160236202,-0.9589045344135276,-0.9952333312500227,-0.9952006169905022,-0.9538033000981221,-0.7082139288071431,-0.707235524989896,-0.6903919316068982
coal,2050,-0.9992438724291316,-0.9992438938939928,-0.9903792807236538,-0.9955022147367475,-0.9955159308401988,-0.9873437833386188,-0.8468977084373943,-0.8239499958018963,-0.8470889711220576
coal,2055,-0.9992280958668704,-0.9991989891725016,-0.9824745511374279,-0.9954886856164651,-0.9954771528171481,-0.9800524034408873,-0.8342481264812777,-0.7904053376953273,-0.7909418680966013
hydro,2028,,,,0.0,0.0,0.0,0.0,0.0,0.0
hydro,2030,,,,0.025468633736118518,0.02751126934569137,0.02996221551280054,0.024159786847582465,0.024724665555960534,0.026006515589038326
hydro,2035,,,,0.10240297347217653,0.11339750627812117,0.11815036371726784,0.06487220487701317,0.06801840474910659,0.07060951900566348
hydro,2040,,,,0.169421904012508,0.17534355965281834,0.1760534604865842,0.13006079128716141,0.13176081427388664,0.1314771919911648
hydro,2045,,,,0.16310257847219978,0.16878502792482775,0.1722033531134748,0.1260011948874724,0.12888845822461503,0.128705720325748
hydro,2050,,,,0.1710966283477584,0.17808795103255148,0.17969236854873527,0.12181422700511546,0.12476451125976684,0.12485776938754434
hydro,2055,,,,0.1774396194697312,0.1871360701349325,0.1876481441874871,0.11950282049575156,0.12315003393510837,0.1228361560327822
hydrogen,2030,,,,,,,,,
hydrogen,2035,,,,,,,,,
hydrogen,2040,,,,,,,,,
hydrogen,2045,,,,,,,,,
hydrogen,2050,,,,,,,,,
hydrogen,2055,,,,,,,,,
natural_gas,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural_gas,2030,0.059051049344258644,0.06168248005021071,-0.02129248255450933,0.06387171207108877,0.06455559169105274,0.00038884120693416513,0.10687917716013584,0.10945747041131204,0.01568603036485383
natural_gas,2035,-0.2768675098944545,-0.25686743627892605,-0.2613147006323223,-0.24511480703865518,-0.22484494299508784,-0.21332153320834168,-0.07926319410917027,-0.24008570929512096,-0.2420740741735885
natural_gas,2040,-0.42626623008702447,-0.40936661525177465,-0.406772804312144,-0.39209469826382526,-0.37224949870377055,-0.3528615761809234,-0.27072248247535957,-0.43532006972912174,-0.43446593776853293
natural_gas,2045,-0.5013550549353021,-0.4945219619625786,-0.49255671757769226,-0.4750548282257241,-0.46673596631861436,-0.460589027609554,-0.3915984877823877,-0.5277255320170507,-0.5489841365514174
natural_gas,2050,-0.550357420891344,-0.5368871174087833,-0.5384876305769367,-0.5332354874636517,-0.5193641922564276,-0.5137334192490204,-0.45663712286457214,-0.5633030884696786,-0.5816795859801533
natural_gas,2055,-0.5047839228684576,-0.4990169752584489,-0.4950392117927187,-0.4905112253763646,-0.4851193422682366,-0.4716699779600667,-0.4426656211723631,-0.546654214399833,-0.5760123137397968
nonfossil_nonren,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonfossil_nonren,2030,-0.13511010052645278,-0.13543247078046072,-0.1723336067807414,-0.0724440725030312,-0.072929173838856,-0.09872628885672818,-0.030804787628326613,-0.028239773058818862,-0.04661978931729227
nonfossil_nonren,2035,-0.17623027457895046,-0.1770791233718476,-0.20402914451875587,-0.10653477977561476,-0.1076952973900166,-0.1263943152899072,-0.06301090795590902,-0.059101348294362865,-0.07314351439427791
nonfossil_nonren,2040,-0.20447391031043416,-0.20938912944022636,-0.23673986482816134,-0.13575408401692146,-0.14099817122391223,-0.16220015191161374,-0.11893524608008577,-0.10720062813525844,-0.13268447636718328
nonfossil_nonren,2045,-0.23857364581085239,-0.24012701999554775,-0.27038324286402493,-0.17998408846924085,-0.18220223063083862,-0.20557049334411115,-0.15911988870123173,-0.15562849870502915,-0.1723196116692276
nonfossil_nonren,2050,-0.27424734507320014,-0.2856466656537039,-0.3112123851144514,-0.22036432391665184,-0.232074693128679,-0.25130500487645,-0.22810235538283563,-0.22997589938685103,-0.24459337214799348
nonfossil_nonren,2055,-0.276143200866677,-0.2851734585416257,-0.3120376581249352,-0.22088982640625054,-0.2304300434274006,-0.2505478963991814,-0.2321176069107822,-0.23140671237739174,-0.24526641580408648
nuclear,2028,,,,0.0,0.0,0.0,0.0,0.0,0.0
nuclear,2030,,,,-0.04120209883441184,-0.04120209883441184,-0.04120209883441184,-0.0013278852348834747,-0.0013278852348834747,-0.0013278852348834747
nuclear,2035,,,,-0.13623109461401395,-0.1369757582814325,-0.13709379701579139,-0.011303127985804573,-0.012009162182656796,-0.012120975389413924
nuclear,2040,,,,-0.19204092604595302,-0.19473503906170941,-0.19529096899934106,-0.022655735983231784,-0.025501510623416213,-0.026070813781781443
nuclear,2045,,,,-0.3529047616886588,-0.3532503593562816,-0.3532924445534854,-0.04499700127219697,-0.04587246797042566,-0.04549703512656866
nuclear,2050,,,,-0.5529770130090099,-0.5562887141623428,-0.5563485857461461,-0.06269724299339607,-0.0683484885415615,-0.06846968558890199
nuclear,2055,,,,-0.7176288493289789,-0.7210309700611776,-0.7191882991950357,-0.05403094898720617,-0.06680578771705414,-0.05918311880305682
oil,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,2030,-0.17967260936612217,-0.21198365323590707,-0.0768626421573918,-0.060879682993859374,-0.0878835781310966,0.06882134340530244,0.07391640261050103,-0.15590152521205325,-0.0675990504376256
oil,2035,-0.9648998590866729,-0.9713840471262708,-0.9393579686368604,-0.9593911454863542,-0.9664054834503221,-0.9242993924418732,-0.7376727213069789,-0.8259557570804854,-0.6416895827928011
oil,2040,-0.9638626862415511,-0.9646565399666797,-0.9643069030853053,-0.951257677035323,-0.9517603941624284,-0.9510904629352055,-0.7788309935666882,-0.7868576771377419,-0.7674835454775992
oil,2045,-0.9469537881366917,-0.9366836042089894,-0.9348166527827583,-0.9301017462410842,-0.9159929905939972,-0.9134374560136614,-0.661130344792432,-0.6666504029648372,-0.6217102475171163
oil,2050,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
oil,2055,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
renewables,2028,,,,0.0,0.0,0.0,0.0,0.0,0.0
renewables,2030,,,,0.326004540449373,0.3236106462812276,0.31510960992855375,0.07138253559490715,0.07200068785550084,0.06894784589622138
renewables,2035,,,,1.2059606459925059,1.2192999891035665,1.2172385790924722,0.130575732384429,0.1370010518678706,0.14528068541868966
renewables,2040,,,,1.8947877335913073,1.8626808060429925,1.8769313063788302,0.18368939777989368,0.18243155641168474,0.18688209477303475
renewables,2045,,,,2.6001380990973346,2.5884830045159735,2.5761435719542463,0.21183134978054197,0.2140814990243829,0.2153280367074133
renewables,2050,,,,3.26303976074524,3.2447232812597697,3.251799714708775,0.2260835279688167,0.23080246760941847,0.23189987320650007
renewables,2055,,,,3.687811101214531,3.692381715923834,3.680397611498151,0.2343865250860564,0.2347810297906956,0.23847331700407337
total,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,2030,-0.2730834626943014,-0.2719747646642915,-0.20503395936835633,0.032290321644073305,0.03209157621587155,0.032406964568477914,0.009566340997108735,0.010823317820929379,-0.012139136601897915
total,2035,-0.5388070434283547,-0.5284938678422202,-0.5023634403961903,0.11154303954025813,0.11329553295043304,0.11559749206217496,-0.06281901672335777,-0.10339799863254007,-0.11012294310931436
total,2040,-0.6315295703784533,-0.6224426275515225,-0.6061891583836321,0.20203196142001079,0.2023105587483902,0.2058109856040513,-0.12162851376567296,-0.16608273374990457,-0.17541977915312967
total,2045,-0.6840545380793257,-0.6811291797237031,-0.668073058540266,0.2933499592041322,0.294137313523237,0.2941494303695005,-0.17632508507498534,-0.2096534357443688,-0.22349401416117676
total,2050,-0.7140901113748142,-0.7074325398475418,-0.7082359229803546,0.39900876576027877,0.40031427715938306,0.4005755396158932,-0.21216883323382796,-0.23531975042523978,-0.24734547636796367
total,2055,-0.687147785915446,-0.685050103580713,-0.6798377062800297,0.49424622297718646,0.4974634775033344,0.49627247287776766,-0.21111662065127157,-0.23499827064414736,-0.248072407362383
